Corporate Decisions,2009-21 (PDF 28KB),cd09-21.pdf,"Application by U.S. Bank National Association, Cincinnati, Ohio, to purchase certain assets and assume certain liabilities of Bank USA, National Association, Phoenix, Arizona (""Failed Entity"")  (Control Number 2009-CE-02-043), 10/30/2009"
Corporate Decisions,2009-22 (PDF 29KB),cd09-22.pdf,"Application by U.S. Bank National Association, Cincinnati, Ohio, to purchase certain assets and assume certain liabilities of California National Bank, Los Angeles, California (""Failed Entity"")  (Control Number 2009-CE-02-043), 10/30/2009"
Corporate Decisions,2009-23 (PDF 27KB),cd09-23.pdf,"Application by U.S. Bank National Association, Cincinnati, Ohio, to purchase certain assets and assume certain liabilities of Citizens National Bank, Teague, Texas (""Failed Entity"")  (Control Number 2009-CE-02-043), 10/30/2009 "
Corporate Decisions,2009-24 (PDF 27KB),cd09-24.pdf,"Application by U.S. Bank National Association, Cincinnati, Ohio, to purchase certain assets and assume certain liabilities of North Houston Bank, Houston, Texas (""Failed Entity"")  (Control Number 2009-CE-02-043), 10/30/2009"
Corporate Decisions,2009-25 (PDF 26KB),cd09-25.pdf,"Application by U.S. Bank National Association, Cincinnati, Ohio, to purchase certain assets and assume certain liabilities of Community Bank of Lemont, Lemont, Illinois (""Failed Entity"")  (Control Number 2009-CE-02-043), 10/30/2009"
Corporate Decisions,2009-26 (PDF 27KB),cd09-26.pdf,"Application by U.S. Bank National Association, Cincinnati, Ohio, to purchase certain assets and assume certain liabilities of Madisonville State Bank, Madisonville, Texas (""Failed Entity"")  (Control Number 2009-CE-02-043), 10/30/2009"
Corporate Decisions,2009-27 (PDF 26KB),cd09-27.pdf,"Application by U.S. Bank National Association, Cincinnati, Ohio, to purchase certain assets and assume certain liabilities of Pacific National Bank, San Francisco, California (""Failed Entity"")  (Control Number 2009-CE-02-043), 10/30/2009"
Corporate Decisions,2009-28 (PDF 26KB),cd09-28.pdf,"Application by U.S. Bank National Association, Cincinnati, Ohio, to purchase certain assets and assume certain liabilities of Park National Bank, Chicago, Illinois (""Failed Entity"")  (Control Number 2009-CE-02-043), 10/30/2009"
Corporate Decisions,2009-29 (PDF 26KB),cd09-29.pdf,"Application by U.S. Bank National Association, Cincinnati, Ohio, to purchase certain assets and assume certain liabilities of San Diego National Bank, San Diego, California (""Failed Entity"")  (Control Number 2009-CE-02-043), 10/30/2009"
Corporate Decisions,2009-30 (PDF 34KB),cd09-30.pdf,"Application by Alerus Financial, National Association, Grand Forks, North Dakota, to acquire from the Federal Deposit Insurance Corporation (FDIC) as receiver, the assets and liabilities of Prosperan Bank, Oakdale, Minnesota  (Control Number 2009-CE-02-044), 11/06/2009"
