2004,Interpretive Letters,978,/static/interpretations-and-precedents/jan04/int978.pdf,"Letter denies a request for a Suspicious Activity Report (SAR) for use in private litigation because the public policy against disclosure, as reflected in Congressional enactments, agency regulations and recent court decisions, is very strong.WORD",12/04/2003
2004,Interpretive Letters,979,/static/interpretations-and-precedents/jan04/int979.pdf,"Letter interprets the common source of repayment test in 12 C.F.R. 32.5(c)(1) and finds that, on the specific facts presented, the test does not result in the combination of loans to members of the Indian Community with loans to other members or with a loan to the Community.WOR",12/18/2003
2004,Interpretive Letters,980,/static/interpretations-and-precedents/jan04/int980.pdf,Letter concludes that the installation of UPS drop boxes at non-branch offices of a bank will not cause those offices to be considered branches under 12 USC 36 because they are owned by an independent third party and can be used by the general public for nonbanking transactions.         WORD,12/24/2003
2004,CRA Decisions,119,/static/interpretations-and-precedents/jan04/crad119.pdf,"Merger of Bank One Delta Trust Company, National Association (In Organization), Bank One Epsilon Trust Company, National Association (In Organization), and Bank One Zeta Trust Company, National Association (In Organization) into J.P. Morgan Trust Company, National Association, Los Angeles, California.   (Control Number 2003 NE 02 033), WORD",10/24/2003
2004,CRA Decisions,120,/static/interpretations-and-precedents/jan04/crad120.pdf,"Application by Sun National Bank, Vineland, New Jersey, to purchase certain assets and acquire certain liabilities of eight New Jersey branches of New York Community Bank, Westbury, New York.    (Control Number 2003 NE 02 0036),  WORD",11/04/2003
2004,CRA Decisions,121,/static/interpretations-and-precedents/jan04/crad121.pdf,"Merger of United Trust Bank, Bridgewater, New Jersey into PNC Bank, National Association, Pittsburgh, Pennsylvania. (Control Numbers 2003 NE 02 040 &  2003 NE 05 152), WOR",12/03/2003
2004,Corporate Decisions,2004-1,/static/interpretations-and-precedents/jan04/cd04-1.pdf,"Application to relocate the main office of First Consumers National Bank from 9300 S. W. Gemini Drive, Beaverton, Oregon to 4800 S. Meadows Road, Lake Oswego, Oregon.  (Control Number 2003 WE 07 0032),   WORD 11",11/21/2003
2004,Approvals with conditions enforceable under 12 U.S.C. 1818,615,/static/interpretations-and-precedents/jan04/ca615.pdf,"Application to charter Commerce National Bank, Fullerton, California.    (Control Number 2002 WE 01 0010),   WOR",12/11/2003
2004,Approvals with conditions enforceable under 12 U.S.C. 1818,616,/static/interpretations-and-precedents/jan04/ca616.pdf,"Application by Mission National Bank, San Francisco, California to purchase certain assets and assume the liabilities of the Mission Street branch, san Francisco, California of Pan American Bank, FSB, Burlingame, California.     (Control Number 2003 WE 02 0012),     WORD",12/16/2003
2004,Approvals with conditions enforceable under 12 U.S.C. 1818,981,/static/interpretations-and-precedents/jan04/ca617.pdf,"Letter states that a national bank may rely on the rating assigned to the uninsured portion of the bank's certificates of deposit to satisfy the debt rating requirement necessary to establish a financial subsidiary under Section 121 of the Gramm-Leach-Bliley Act.  The certificates of deposit qualify as ""eligible debt"" for purposes of the requirement under Section 121 that any of the 50 largest insured banks must have at least one investment grade rated issue of debt outstanding in order for the bank to establish a financial subsidiary.  WORD",08/14/2003
2004,Approvals with conditions enforceable under 12 U.S.C. 1818,982,/static/interpretations-and-precedents/jan04/ca617.pdf,Letter states that a national bank may condition the offering of its securities underwriting services on the use of the bank's letter of credit to secure the bond issue.  WORD,09/29/2003
2004,Interpretive Letters,983,/static/interpretations-and-precedents/feb04/int981.pdf,Letter opines that a bank's proposed investment in a fund with the purpose of providing employment for low- and moderate-income individuals would be a qualified investment under the Community Reinvestment Act regulations.   WORD,10/24/2003
