119,/static/interpretations-and-precedents/jan04/crad121.pdf,"Merger of Bank One Delta Trust Company, National Association (In Organization), Bank One Epsilon Trust Company, National Association (In Organization), and Bank One Zeta Trust Company, National Association (In Organization) into J.P. Morgan Trust Company, National Association, Los Angeles, California.   (Control Number 2003 NE 02 033),  10/24/2003 "
120,/static/interpretations-and-precedents/jan04/ca618.pdf,"Application by Sun National Bank, Vineland, New Jersey, to purchase certain assets and acquire certain liabilities of eight New Jersey branches of New York Community Bank, Westbury, New York.    (Control Number 2003 NE 02 0036),   11/04/2003 "
121,/static/interpretations-and-precedents/jan04/crad119.pdf,"Merger of United Trust Bank, Bridgewater, New Jersey into PNC Bank, National Association, Pittsburgh, Pennsylvania. (Control Numbers 2003 NE 02 040 &  2003 NE 05 152),  12/03/2003"
618,/static/interpretations-and-precedents/jan04/crad120.pdf," Application by Empire State Bank, N.A. (In Organization), Newburgh, New York, to establish a branch at 275 Main Street, New Paltz, Ulster County, New  York. (Control Number 2003 NE 05                                                                                        0105),    02/10/2004 "
2004-6,/static/interpretations-and-precedents/mar04/cd04-6.pdf,"Application from Webster Bank, Waterbury, Connecticut, to convert to a national bank charter with the title ""Webster Bank, National Association"" and retain branches in Connecticut.  (Control Numbers 2003 NE 01 0019 & 2003 NE 12 0288),       02/05/2004"
622,/static/interpretations-and-precedents/mar04/ca622.pdf,"Application to establish a new national trust bank, which will engage solely in fiduciary activities with the title of Commercebank Trust Company, National Association, Coral Gables, Florida and the request to establish the new bank as an operating subsidiary of Commercebank, N.A. (Control Numbers 2003 SW 01 0012 & 2003 SW 08 0017),      02/19/2004 "
623,/static/interpretations-and-precedents/mar04/ca625.pdf,"Application to merge Old Dominion Trust Company, Norfolk, Virginia with and into AMG Guaranty Trust, N.A., Greenwood Village, Colorado under the title and charter of the latter.  (Control Number 2003 WE 02 0009),     02/20/2004  "
624,/static/interpretations-and-precedents/mar04/ca623.pdf,"Notice of Change in Bank Control filed by Bank of America Corporation with respect to Fleet Bank (RI), National Association, Providence, Rhode Island.  (Control Number 2003 ML 11 0001),    02/24/2004  "
625,/static/interpretations-and-precedents/mar04/ca624.pdf," Letter discusses the distinction between technology advisory services that are part of the business of banking (advice on processing banking, financial or economic data) and can be offered to anyone versus advisory services that are incidental and, thus can be offered only to customers of linked banking products (advice on general technology that customers can use to connect to on-line bank services).                                                                                           02/24/2003 "
986,ca628.pdf, Letter opines that in most instances second mortgages liens will not constitute recourse because second mortgage liens generally do not function as credit enhancements under the risk-based capital guidelines.  03/17/2003 
